author,img_path,features
Michelangelo,images/Michelangelo/Michelangelo_31.jpg,[0.06841877 1.1764433  0.07980758 ... 0.07412346 0.         0.01665201]
Michelangelo,images/Michelangelo/Michelangelo_23.jpg,[0.21683976 0.97191983 0.4037761  ... 0.17176682 2.9138749  0.22032262]
Michelangelo,images/Michelangelo/Michelangelo_36.jpg,[0.01307899 0.61768866 0.02937607 ... 0.01739236 0.17134875 0.06530334]
Michelangelo,images/Michelangelo/Michelangelo_17.jpg,[0.32377616 2.1673126  0.25292984 ... 0.07200152 0.87896305 0.51086134]
Michelangelo,images/Michelangelo/Michelangelo_6.jpg,[1.7124534  0.39220405 1.6053407  ... 0.19950889 0.6319594  1.1647072 ]
Michelangelo,images/Michelangelo/Michelangelo_25.jpg,[0.31758046 0.96013284 0.32024366 ... 0.         0.22421952 0.03996123]
Michelangelo,images/Michelangelo/Michelangelo_27.jpg,[0.9051661  1.785077   0.05823263 ... 0.         0.29518545 0.3351935 ]
Michelangelo,images/Michelangelo/Michelangelo_46.jpg,[0.06470323 2.465473   0.14782195 ... 0.07496716 2.6276948  0.47382075]
Michelangelo,images/Michelangelo/Michelangelo_32.jpg,[0.07888186 1.7005403  1.224664   ... 0.02471324 0.29613298 0.03352091]
Michelangelo,images/Michelangelo/Michelangelo_28.jpg,[0.9697454  0.43090898 0.         ... 0.06332076 1.4499425  0.41999388]
Michelangelo,images/Michelangelo/Michelangelo_21.jpg,[0.2660567  3.3761926  0.83138335 ... 0.         0.8566305  0.28932297]
Michelangelo,images/Michelangelo/Michelangelo_13.jpg,[0.29783013 1.7236385  0.5521418  ... 0.0314539  0.46156785 0.09657161]
Michelangelo,images/Michelangelo/Michelangelo_12.jpg,[0.64991236 2.419995   0.22845711 ... 0.3546597  0.04816886 0.23441845]
Michelangelo,images/Michelangelo/Michelangelo_39.jpg,[0.6481789  1.4622482  0.16979542 ... 0.0031905  0.7247109  0.4762998 ]
Michelangelo,images/Michelangelo/Michelangelo_33.jpg,[0.98765033 0.8546854  0.55148125 ... 0.02962853 0.         0.38336548]
Michelangelo,images/Michelangelo/Michelangelo_3.jpg,[0.24620797 0.66901094 0.6082245  ... 0.5696678  0.6545726  0.5450351 ]
Michelangelo,images/Michelangelo/Michelangelo_29.jpg,[1.6362435  2.2417548  0.35460114 ... 0.07323958 0.48571002 0.61957127]
Michelangelo,images/Michelangelo/Michelangelo_1.jpg,[0.97881174 0.7876559  0.86457837 ... 0.55064744 2.1227472  0.971301  ]
Michelangelo,images/Michelangelo/Michelangelo_38.jpg,[0.25076506 1.3032687  1.016514   ... 1.0638938  1.2135364  0.19898956]
Michelangelo,images/Michelangelo/Michelangelo_41.jpg,[0.2829041  0.28427708 0.52467394 ... 0.03868863 0.02560389 0.01183167]
Michelangelo,images/Michelangelo/Michelangelo_14.jpg,[0.19196191 1.5471407  0.35595417 ... 0.         2.3615592  0.8079071 ]
Michelangelo,images/Michelangelo/Michelangelo_48.jpg,[0.21216603 1.3806342  0.29026914 ... 0.06057112 3.4440491  0.3480502 ]
Michelangelo,images/Michelangelo/Michelangelo_16.jpg,[0.06972947 1.3532424  0.25001687 ... 0.         1.2633289  0.33069497]
Michelangelo,images/Michelangelo/Michelangelo_19.jpg,[0.10880467 1.2277272  0.13088027 ... 0.12331693 1.4754758  0.06555029]
Michelangelo,images/Michelangelo/Michelangelo_4.jpg,[0.17865781 1.3012615  1.3296139  ... 0.7277052  0.2758348  0.13235232]
Michelangelo,images/Michelangelo/Michelangelo_40.jpg,[0.4069791  0.54685694 1.3903388  ... 1.6176116  1.0347402  0.55186373]
Michelangelo,images/Michelangelo/Michelangelo_44.jpg,[0.03577026 1.7242341  0.8526414  ... 0.         1.2590698  0.25242734]
Michelangelo,images/Michelangelo/Michelangelo_43.jpg,[0.52880806 1.6836766  2.8859825  ... 0.7238762  1.806695   0.11049535]
